DLPS,ESTC,DocNo,TCP,GaleDocNo
004890413,T134770,CW116474202,K106754.004,CW3316474916
004795617,T2104,CW106673868,K021271.000,CW3306673868
004829916,W8124,CW113386540,K133366.000,CW3313386540
004796393,T22338,CW116021677,K031002.000,CW3316021677
004844733,T71923,CW111338245,K060978.000,CW3311338245
004809378,T5801,CW122973323,K023236.000,CW3322973323
004882362,T123564,CW113136367,K098680.000,CW3313136367
004773701,N14837,CW105403758,K009299.000,CW3305403758
004880992,T121678,CW107061039,K097310.002,CW3308408980
004809366,T5788,CW103827271,K023226.000,CW3303827271
004843169,T69697,CW106257766,K059406.000,CW3306257766
004809282,T5694,CW113975798,K023150.000,CW3313975798
004809270,T5678,CW112455752,K023140.000,CW3312455752
004882582,T123917,CW104468190,K098900.004,CW3304503544
004841294,T66943,CW102115713,K057526.001,CW3302115713
004776545,N19800,CW108191269,K011766.000,CW3308191269
004770664,N10873,CW105970828,K006521.000,CW3305970828
004780920,N28466,CW112322991,K015532.000,CW3312322991
004900416,T46118,CW124598644,K043587.000,CW3324598644
004846947,T75219,CW117130144,K063195.000,CW3317130144
004845840,T73501,CW110688788,K062088.004,CW3310689376
004897137,T145976,CW103574486,K113518.000,CW3303574486
004837677,T62064,CW111650033,K053904.002,CW3310964504
004784005,N4285,CW109777548,K002765.000,CW3309777548
004769889,N10089,CW110431182,K005846.000,CW3310431182
004891703,T136769,CW118729041,K108052.000,CW3318729041
004794701,T18913,CW105129095,K029554.000,CW3305129095
004804046,T36383,CW116021511,K037835.000,CW3316021511
004770944,N1125,CW107943971,K000691.000,CW3307943971
004809946,T776,CW110072026,K020293.000,CW3310072026
004893876,T139809,CW110673864,K110238.005,CW3310674567
004772124,N12801,CW110018354,K007863.000,CW3310018354
004808956,T5300,CW105070478,K022849.000,CW3305070478
004843567,T70335,CW103803351,K059805.000,CW3303803351
004807424,T41729,CW105745776,K041028.000,CW3305745776
004902267,T48914,CW118919275,K045439.000,CW3318919275
004900004,T45420,CW114019855,K043175.000,CW3314019855
004792774,T1560,CW121887579,K020914.000,CW3321887579
004902257,T48903,CW120374938,K045429.000,CW3320374938
004771772,N12361,CW110407239,K007545.000,CW3310407239
004808620,T469,CW113259062,K020101.000,CW3313259062
004900010,T45426,CW106675407,K043181.000,CW3306675407
004855634,T88489,CW105704090,K071903.000,CW3305704090
004788053,N8053,CW107557035,K004747.000,CW3307557035
004841994,T67997,CW111727257,K058227.000,CW3311727257
004893396,T139140,CW109028249,K109756.001,CW3309028249
004798045,T26889,CW110139681,K032335.000,CW3310139681
004806396,T4011,CW125288867,K022124.000,CW3325288867
004851845,T83535,CW124431609,K068107.000,CW3324431609
004801072,T31626,CW113609852,K035015.000,CW3313609852
004893876,T139809,CW110673864,K110238.004,CW3310674327
004853298,T85345,CW113803360,K069565.000,CW3313803360
004833770,T56428,CW106714091,K049986.000,CW3306714091
004881676,T122535,CW107248457,K097994.000,CW3307248457
004838623,T63407,CW100646158,K054851.000,CW3300646158
004803223,T34998,CW113526280,K037020.000,CW3313526280
004809886,T743,CW105567850,K020267.000,CW3305567850
004848575,T78058,CW100158338,K064831.002,CW3300158727
004804664,T37407,CW110156522,K038447.000,CW3310156522
004863362,T98998,CW104011451,K079641.001,CW3304011451
004858007,T91573,CW103119160,K074278.002,CW3303119610
004832075,T53732,CW114860110,K048291.000,CW3314860110
004882582,T123917,CW104468190,K098900.005,CW3304468979
004789408,T10216,CW107118794,K024903.000,CW3307118794
004840450,T65939,CW105056195,K056679.000,CW3305056195
004903327,T50721,CW110412251,K046500.000,CW3310412251
004872418,T110499,CW103988101,K088713.000,CW3303988101
004880992,T121678,CW107061039,K097310.003,CW3307061039
004853699,T85839,CW103785569,K069966.000,CW3303785569
004889453,T133469,CW114722718,K105792.000,CW3314722718
004773132,N14152,CW104946824,K008777.000,CW3304946824
004803501,T35431,CW113260039,K037297.000,CW3313260039
004837015,T61211,CW113589175,K053241.000,CW3313589175
004848826,T78366,CW100611167,K065082.001,CW3300611167
004889437,T133446,CW3316100708,K105776.001,CW3316910434
004878996,T118910,CW111998002,K095313.001,CW3311998002
004901471,T47695,CW119146311,K044643.000,CW3319146311
004856195,T89233,CW107246137,K072464.000,CW3307246137
004904254,T52489,CW111430504,K047433.000,CW3311430504
004802356,T33490,CW117566940,K036168.003,CW3317567712
004891913,T137093,CW105956638,K108263.000,CW3305956638
004903441,T50903,CW104687182,K046614.000,CW3304687182
004792564,T14790,CW110887383,K027697.002,CW3310887566
004891923,T137106,CW105956869,K108273.000,CW3305956869
004782733,N35246,CW104792273,K016912.000,CW3304792273
004846086,T73803,CW113679049,K062334.000,CW3313679049
004864381,T100223,CW108361572,K080662.005,CW3308361921
004807076,T41160,CW115315011,K040713.000,CW3315315011
004780205,N26630,CW104260645,K014927.000,CW3304260645
004809139,T5525,CW113180836,K023017.000,CW3313180836
004875060,T114144,CW111464568,K091366.000,CW3311464568
004852455,T84273,CW113295562,K068720.000,CW3313295562
004876766,T116245,CW112092927,K093079.004,CW3312093261
004802758,T34229,CW110294270,K036558.000,CW3310294270
004843077,T69589,CW119101661,K059314.000,CW3319101661
004831478,T52943,CW114160403,K047694.000,CW3314160403
004796659,T22825,CW113450273,K031233.000,CW3313450273
004894364,T140591,CW102694866,K110735.000,CW3302694866
004821556,T193639,CW115661936,K125710.000,CW3315661936
004801368,T32045,CW117059022,K035269.000,CW3317059022
004873396,T111999,CW106592925,K089699.000,CW3306592925
004843899,T70851,CW100650147,K060142.001,CW3300650147
004843629,T70420,CW117444894,K059867.001,CW3317444894
004903631,T51439,CW105050929,K046809.000,CW3305050929
004857836,T91336,CW118248282,K074107.001,CW3318248282
004782202,N33217,CW116959626,K016527.002,CW3316959949
004861747,T96891,CW108360398,K078024.002,CW3308360517
004897843,T146992,CW121211391,K114226.006,CW3321212467
004842022,T68030,CW107251232,K058255.000,CW3307251232
004802947,T34551,CW112468625,K036746.000,CW3312468625
004889420,T133426,CW113905020,K105759.000,CW3313905020
004897569,T146609,CW113522202,K113952.008,CW3313915733
004804499,T37135,CW114791150,K038285.000,CW3314791150
004789306,T10038,CW109149943,K024818.001,CW3309149943
004792189,T14323,CW110774001,K027367.000,CW3310774001
004887197,T130421,CW101728147,K103528.004,CW3301935762
004832000,T53650,CW110152459,K048216.000,CW3310152459
004884091,T125859,CW109742084,K100410.000,CW3309742084
004800451,T30807,CW110292853,K034449.000,CW3310292853
004877346,T116942,CW113465844,K093660.004,CW3313524337
004810886,T9689,CW105173843,K024720.000,CW3305173843
004897843,T146992,CW121211391,K114226.002,CW3321211626
004861747,T96891,CW108360398,K078024.006,CW3308361006
004782202,N33217,CW116959626,K016527.006,CW3316961284
004795616,T2103,CW106673928,K021270.000,CW3306673928
004852074,T83810,CW110264281,K068337.000,CW3310264281
004779655,N2550,CW109794343,K001672.000,CW3309794343
004856821,T90013,CW119862253,K073091.000,CW3319862253
004795516,T2088,CW106674759,K021260.000,CW3306674759
004853488,T85573,CW112724564,K069755.000,CW3312724564
004783427,N3888,CW107139068,K002508.000,CW3307139068
004806825,T40757,CW110623453,K040490.000,CW3310623453
004909877,T6428,CW111498297,K023578.000,CW3311498297
004801619,T32397,CW110146806,K035508.000,CW3310146806
004901746,T48035,CW117057788,K044918.000,CW3317057788
004846500,T74465,CW104312519,K062748.003,CW3304551534
004803403,T35272,CW110147067,K037200.000,CW3310147067
004842138,T68179,CW121133079,K058371.000,CW3321133079
004857845,T91345,CW122134818,K074116.000,CW3322134818
004804896,T37847,CW111305851,K038677.000,CW3311305851
004863216,T98814,CW113285171,K079495.000,CW3313285171
004844701,T71886,CW109637647,K060946.001,CW3309637647
004893621,T139486,CW121223746,K109981.000,CW3321223746
004804232,T36693,CW112929283,K038022.000,CW3312929283
004809563,T6174,CW113549804,K023394.000,CW3313549804
004844749,T71941,CW122551923,K060994.002,CW3322551923
004864381,T100223,CW108361572,K080662.001,CW3308361572
004834056,T56872,CW104441525,K050273.000,CW3304441525
004872930,T111145,CW101958724,K089227.000,CW3301958724
004897129,T145965,CW102877464,K113510.003,CW3302878168
004890413,T134770,CW116474202,K106754.001,CW3316474202
004834046,T56857,CW105205231,K050263.000,CW3305205231
004875854,T115132,CW110896459,K092165.001,CW3310896459
004846789,T75033,CW110069751,K063037.000,CW3310069751
004802011,T32977,CW120430307,K035873.000,CW3320430307
004848826,T78366,CW100611167,K065082.005,CW3300611647
004834818,T58019,CW107899639,K051036.000,CW3307899639
004805337,T38490,CW102433468,K039111.000,CW3302433468
004847523,T76203,CW123278672,K063778.000,CW3323278672
004797759,T26350,CW108527500,K032080.002,CW3308362025
004806452,T40185,CW119776122,K040168.000,CW3319776122
004869532,T106886,CW122132055,K085823.000,CW3322132055
004902256,T48902,CW120374953,K045428.000,CW3320374953
004845840,T73501,CW110688788,K062088.001,CW3310688788
004772448,N13221,CW116606049,K008158.002,CW3316606337
004843566,T70334,CW121783153,K059804.000,CW3321783153
004857903,T91434,CW115017214,K074174.000,CW3315017214
004862597,T98023,CW104914570,K078874.000,CW3304914570
004847084,T75422,CW106403033,K063333.000,CW3306403033
004812098,T153168,CW104959838,K116198.000,CW3304959838
004843878,T70822,CW113032918,K060121.000,CW3313032918
004807566,T41927,CW109793036,K041151.000,CW3309793036
004808953,T5299,CW103805858,K022848.000,CW3303805858
004882582,T123917,CW104468190,K098900.001,CW3304468190
004870203,T107739,CW109113087,K086495.000,CW3309113087
004891467,T136411,CW100109165,K107811.002,CW3300109376
004809367,T5789,CW104144081,K023227.000,CW3304144081
004809379,T5802,CW123319866,K023237.000,CW3323319866
004859011,T93222,CW110583073,K075282.000,CW3310583073
004897705,T146800,CW120345923,K114088.001,CW3320345923
004780496,N27384,CW112328710,K015178.000,CW3312328710
004855424,T88236,CW103993663,K071693.000,CW3303993663
004795207,T20324,CW112874915,K029946.000,CW3312874915
004801344,T32010,CW109367688,K035247.000,CW3309367688
004796394,T22341,CW113475707,K031003.000,CW3313475707
004837188,T61470,CW101534748,K053415.001,CW3301534748
004780909,N28428,CW111414901,K015523.000,CW3311414901
004863361,T98996,CW125237666,K079640.000,CW3325237666
004780921,N28467,CW117144071,K015533.000,CW3317144071
004789151,N9907,CW110193808,K005732.000,CW3310193808
004841295,T66944,CW109130699,K057527.001,CW3309130699
004873068,T111393,CW112764551,K089370.001,CW3312764551
004864172,T99966,CW101088581,K080453.000,CW3301088581
004879601,T119711,CW113619138,K095919.001,CW3313619138
004843170,T69698,CW106141301,K059407.000,CW3306141301
004848507,T77983,CW118261200,K064763.000,CW3318261200
004868572,T105614,CW116190587,K084861.002,CW3316190905
004789407,T10213,CW107118763,K024902.000,CW3307118763
004840439,T65921,CW106062738,K056668.000,CW3306062738
004780235,N26712,CW125563250,K014954.000,CW3325563250
004807750,T42171,CW107318640,K041312.000,CW3307318640
004861571,T96668,CW105124089,K077848.001,CW3306157733
004804673,T37422,CW109522981,K038456.000,CW3309522981
004893396,T139140,CW109028249,K109756.004,CW3309362253
004774083,N15293,CW110431453,K009637.000,CW3310431453
004778903,N2387,CW100147811,K001582.000,CW3300147811
004909780,T6332,CW118035646,K023486.000,CW3318035646
004863904,T99653,CW107578637,K080184.000,CW3307578637
004829502,W2485,CW107692616,K132927.000,CW3307692616
004793358,T1706,CW114249655,K020958.000,CW3314249655
004893876,T139809,CW110673864,K110238.001,CW3310673864
004831070,W32176,CW120459926,K135809.000,CW3320459926
004897241,T146116,CW101406299,K113622.000,CW3301406299
004842932,T69388,CW121432596,K059169.000,CW3321432596
004806472,T4022,CW119914515,K022135.000,CW3319914515
004841993,T67996,CW113952997,K058226.000,CW3313952997
004809449,T5904,CW124474648,K023302.000,CW3324474648
004893903,T139860,CW110639770,K110265.000,CW3310639770
004877289,T116874,CW114176180,K093603.000,CW3314176180
004878330,T118085,CW112474144,K094645.000,CW3312474144
004802936,T34538,CW113161814,K036735.000,CW3313161814
004770366,N10530,CW110199264,K006240.000,CW3310199264
004881341,T122091,CW108343826,K097659.000,CW3308343826
004886237,T128955,CW115569524,K102562.000,CW3315569524
004774441,N15838,CW112050625,K009952.000,CW3312050625
004801867,T32780,CW115850338,K035739.000,CW3315850338
004832013,T53663,CW109973091,K048229.000,CW3309973091
004887584,T130916,CW111899461,K103915.001,CW3311899461
004781604,N3107,CW112301894,K002004.000,CW3312301894
004797759,T26350,CW108527500,K032080.003,CW3308362153
004809657,T6727,CW100486744,K023749.000,CW3300486744
004848826,T78366,CW100611167,K065082.004,CW3300410564
004802399,T33535,CW110245698,K036206.000,CW3310245698
004831469,T52933,CW113161977,K047685.000,CW3313161977
004873067,T111391,CW111671076,K089369.003,CW3311671076
004810731,T949,CW114932595,K020441.000,CW3314932595
004898599,T148771,CW109912202,K114986.004,CW3309912479
004801146,T31743,CW106548756,K035076.000,CW3306548756
004847829,T76810,CW111998695,K064085.000,CW3311998695
004813657,T162265,CW102469750,K117762.000,CW3302469750
004808531,T4600,CW110228831,K022474.000,CW3310228831
004850581,T81552,CW114191193,K066841.000,CW3314191193
004834070,T56892,CW105739716,K050287.000,CW3305739716
004798579,T2758,CW105571400,K021676.000,CW3305571400
004836842,T60939,CW110859756,K053061.001,CW3310859756
004809138,T5524,CW101013072,K023016.000,CW3301013072
004843398,T70119,CW108885731,K059636.000,CW3308885731
004773217,N14258,CW106091931,K008857.002,CW3306092173
004809110,T5497,CW124670202,K022990.002,CW3324670410
004804912,T37875,CW105934969,K038693.000,CW3305934969
004782129,N32941,CW111769874,K016468.000,CW3311769874
004898233,T147623,CW107975463,K114616.000,CW3307975463
004786232,N563,CW109553321,K000335.000,CW3309553321
004796545,T22566,CW111809934,K031144.000,CW3311809934
004838037,T62588,CW110105456,K054264.000,CW3310105456
004891922,T137105,CW105956814,K108272.000,CW3305956814
004889634,T133752,CW100467810,K105973.002,CW3300468335
004902245,T48890,CW118939446,K045417.000,CW3318939446
004846500,T74465,CW104312519,K062748.002,CW3304313046
004825008,T213594,CW116671185,K129212.000,CW3316671185
004813957,T163851,CW115764703,K118063.000,CW3315764703
004833141,T55366,CW115601118,K049357.001,CW3315601118
