datefield,shelfmarks,title,publisher,edition,flickr_url_to_book_images,place,issuance,authors,identifier,corporate,date
1791,b'British Library HMNTS 644.k.23.(6.)',"b'The Triumph of Friendship, an historical poem. [By. W. Golden.]'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003677227',b'London',b'monographic',b'contributor',b'003677227',b'',b'1791'
1795,b'British Library HMNTS 11602.g.31.(5.)',"b'The Destruction of Babylon, a Seatonian prize poem'",b'J. Nicholson',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003678715',b'Cambridge',b'monographic',b'creator',b'003678715',b'',b'1795'
1795,b'British Library HMNTS 643.i.13.(8.)',"b""Mr. Morton's Zorinski and Brooke's Gustavus Vasa compared. Also a critique on Zorinski ... With alterations and additions, by Truth""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003683362',b'London',b'monographic',b'',b'003683362',b'',b'1795'
1791,b'British Library HMNTS 643.h.15.(5.)',"b'[A Day in Turkey.] Airs, duets, choruses, &c., in the new comedy, called, A Day in Turkey; or, The Russian Slaves. [By H. Cowley.],Appendix. Miscellaneous'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003691435',b'London',b'monographic',b'contributor',b'003691435',b'creator',b'1791'
1790,"b'British Library HMNTS 642.l.10.(14.),British Library HMNTS 11633.i.2.(5.)'","b'A Rowland for an Oliver; or a poetical answer to the benevolent epistle of Mr. Peter Pindar [pseud, i.e. John Wolcot]. Also the manuscript Odes, songs, letters, &c., &c., of the above Mr. Peter Pindar, now first published by S. U. [or rather written by J. Wolcot.]'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003737624',b'',b'monographic',b'creator',b'003737624',b'',b'1790'
1799,b'British Library HMNTS 992.h.24.(6.)',"b""The Bees. A poem. From the Fourteenth book of Vanie\xcc\x80re's Pr\xc3\xa6dium Rusticum. By Arthur Murphy. [With notes.]""",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003755971',b'London',b'monographic',"b'contributor,creator'",b'003755971',b'',b'1799'
1799,b'British Library HMNTS 992.i.2.(1.)',"b'Poems on several occasions, including the Petitioner, or a view of the Red-Book; with a Dedication to the Rt. Hon. W****** P*** [William Pitt]'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003761790',b'Chelmsford',b'monographic',b'creator',b'003761790',b'',b'1799'
1794,b'British Library HMNTS 643.f.1.(5.)',"b'The Count de Villeroi; or, the fate of Patriotism: a tragedy [in five acts and in verse]'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003795731',b'London',b'monographic',b'',b'003795731',b'',b'1794'
1796,"b'British Library HMNTS 11609.g.15.,British Library HMNTS G.12883.,British Library HMNTS RB.23.a.11684.(2.)'",b'Observations on Pope',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003830957',b'London',b'monographic',b'creator',b'003830957',b'',b'1796'
1796,"b'British Library HMNTS 642.d.12.(1.),British Library HMNTS 163.k.6.(2.),British Library HMNTS 82.e.16.'","b'Free reflections on miscellaneous papers and legal instruments, [purporting to be] under the hand and seal of W. Shakspeare, in the possession of S. Ireland; [but fabricated by his son S. W. H. Ireland] ... To which are added, extracts from an unpublished MS. play, called The Virgin Queen, written by, or in imitation of, Shakespeare'",b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum003833079',b'London',b'monographic',"b'contributor,creator'",b'003833079',b'',b'1796'
